,content,score,Year,Month,Day,sentiment
8932,"Aplikasi msh dlm pengembangan, bnyk menu yg ditampilkan tapi belum bisa dipakai.",3,2022,6,1,-1
5576,"Gajelas. Pindai simnga bisa. Banyak menu masih ""layanan belum tersedia"". Kalo ganiay gausah sok buat aplikasi lah.",1,2022,6,1,-1
4456,"Sangat membantu sekali dengan adanya aplikasi ini, namun ada beberapa hal ug perlu ditingkatkan lg agar dapat memberikan pelayanan yg maksimal ke masyarakat dgn era digitalisasi ini. Terimakasih Polri Bravo sinergi Polri Indonesia jaya...",5,2022,6,1,1
7119,Saya lupa masa aktif. Ketahuan setelah 3 hari.. Hmm harus buat dari awal.. Tapi belum ada di aplikasi ini. Sedang di tingkatkan. Ya semoga bisa untuk yg kasusnya macam saya.,4,2022,6,1,1
3480,Bravo untuk aplikasi berbasis digitalnya. Semoga semua item yg ada di aplikasi dapat segera bisa digunakan. Krna masih bnyk aplikasi di dalam nya yg belum tersedia.,5,2022,6,1,1
9520,"Susah banget verifikasi e-ktp,, gagal terus.. padahal sudah sesuai prosedur,, tolong jangan dibikin ribet..",1,2022,6,1,-1
5623,"Ngak niat bikin aplikasi, rekaman berulang ulang ngak ad yg benar, tolong dong di perbaiki lagi, susah amat bukan ny simpel udah mau patah leher nganguk2",1,2022,6,2,-1
6773,Masa muka sendiri tidak terdetect. Bagaimana vertifikasi muka yang benar. Sudah di ikuti instruksinya namun tidak bisa,2,2022,6,2,-1
7134,bukannya malah mudah malah tambah ribet pengajuan sim di tolak dan pengembalian pembayaran juga tidak utuh sesuai yang kita bayar,1,2022,6,2,-1
6664,"foto gagal trus , sekali nya dteng ke offline perpanjang sim c abis 210rb , isi test 60rb sama bayar lg di dalem mobil 150rb ,,, sodara sebelomnya perpanjang sim c isi test gratis , skrang knp bayar ??? perpanjang koq kaya bikin baru ,,, aneh !!!!!",1,2022,6,2,-1
9790,"Sangat tidak berguna sama sekali, pada saat verifikasi selalu gagal, buang buang anggaran negara saja buat proyek aplikasi gini",1,2022,6,2,-1
3009,Aplikasinya jelek.. ga bisa daftar buat verifikasi sim.. aneh.. sedangkan kita disuruh verifikasi sim kita.. tp udah scan sim dan tempelkan ke HP masih ttp ga bisa,1,2022,6,2,-1
3570,"1 bintang dulu, soal nya verifikasi e-KTP gagal melulu, niat mau bantu masyarakat, apa utk coba2 aja nie aplikasi.. tolong dibuat verifikasi ektpnya yg mudah dan cepat proses nya 🙏",1,2022,6,2,-1
4586,"Verifikasi EKTP pengenalan wajahnya susah bangettt, sampe dicoba tanpa kerudung agar sama seperti EKTP pun tetep ngga bisa. Ribet banget aplikasi nya",1,2022,6,2,-1
7228,untuk perpanjangan sim. saya sudah coba. dan alhamdulillah. sangat membantu. semoga ke depan nya. semua fitur yg ada bisa fungsi dan aman..,5,2022,6,2,1
2923,"Keluhan yg sama gaes...foto dah bermacam background & pencahayaan.., sampe ganti kostum yg rapih.., tp masih gak terverifikasi jg, ya sudahlah.., mungkin ini bukan jalan yg terbaik..🤔, Maaf ya Min bintang 1 dlu deh🙏",1,2022,6,2,-1
7226,"Verivikasi ktp sangat susah padahal sudah mengikuti petunjuk, apk tidak mudah digunakan tolong diperbaiki lagi.",1,2022,6,2,-1
1532,Aplikasi ini sgt membantu dan mempermudah perpanjangan SIM.. cukup di rumah saja.. SIM jadi dikirim. Yg perlu ditingkatkan waktu prosesnya bisa lbh dipercepat lagi. Trimakasih Digital Korlantas POLRI,5,2022,6,2,1
7155,Saya kira adanya aplikasi ini bisa membantu saya dalam proses perpanjangan SIM saya... Tapi ternyata nihil dan belum atau tidak memberikan manfaat untuk saya terutama... Sudah saya bolak-balik ini aplikasi...,1,2022,6,2,-1
3046,Verifikasi e-ktp ribet banget. Sudah ratusan kali verifikasi wajah gagal terus. Tolong diperbaiki sistemnya agar lebih praktis & bermanfaat untuk masyarakat yg mau daftar pembuatan SIM baru seperti saya. Thanks,4,2022,6,2,-1
4602,"Sangat sulit klo verifikasi wajah dg cara mengikuti intruksi dan sudah 15x saya mencoba tdk masuk2.. Baru 1x noleh arahannya mlah gk terbaca.. Tolong pak polisi agar di permudah, dri verifikasi wajah buka mulut sudah, kedip mata sudah hanya wjah saja yg harusnya gmna ya.. Sudah ikut intruksi tpi gagal, salahnya dimna... Diperbaiki dlu ya pak agar dipermudah.",1,2022,6,2,-1
8882,"Saya coba dulu,tapi masalahnya untuk biaya pembuatan simnya tidak tercantum,jadi kalo bisa rincian biayanya di cantumkan..berapa nominalnya??",3,2022,6,3,0
6623,Parah nih aplikasi pak polisi.verifikasi E-KTP gagal terus.verifikasi SIM juga sama.ini mah percuma ada aplikasi ini klu ujung ujung nya di suruh ke samsat juga buat perpanjang SIM.tolong di permudah dan di perbaiki lagi aplikasi nya.makasih,1,2022,6,3,-1
9721,UX sangat buruk Sistemnya sangat buruk Pelayanan sangat buruk Tujuannya mempermudah malah mempersulit user Mending izin kerja sehari daripada menyusahkan diri sendiri.,1,2022,6,3,-1
4714,"Verifikasi e ktp gagal terus sudah dicoba berkala, pencahayaan bagus, sinyal bagus dan ganti hp tetap tidak bisa",1,2022,6,3,-1
